Trough Date,Peak Date,Trough Price,Peak Price,Percent Gain,Number Of Days
1929-11-08,1929-09-13,19.239999771118164,31.729999542236328,,140
1932-06-24,1930-04-11,4.429999828338623,25.75,,826
1933-02-24,1932-09-23,5.650000095367432,8.100000381469727,,161
1933-10-13,1933-07-07,8.609999656677246,12.0,,182
1935-03-08,1934-02-16,8.0600004196167,11.430000305175781,,434
1938-03-25,1937-03-05,8.5,18.3799991607666,,420
1940-05-17,1939-10-27,9.199999809265137,12.84000015258789,,357
1942-04-17,1940-11-01,7.590000152587891,11.390000343322754,,693
1948-02-06,1946-05-31,13.880000114440918,18.809999465942383,,714
1957-11-08,1956-08-03,39.439998626708984,49.31999969482422,,721
1962-06-15,1962-03-16,53.59000015258789,70.4000015258789,,287
1966-09-30,1966-02-11,74.05000305175781,92.66000366210938,,385
1970-05-15,1968-11-29,72.16000366210938,107.66999816894531,,721
1974-09-27,1973-01-05,62.279998779296875,120.23999786376953,,658
1982-08-06,1980-11-14,102.41999816894531,140.39999389648438,,658
1987-11-27,1987-08-14,225.2100067138672,334.8399963378906,,203
2002-10-04,2000-09-01,803.9199829101562,1502.510009765625,,994
2008-11-14,2007-10-12,752.4400024414062,1540.0799560546875,,434
2009-02-27,2009-01-02,682.5499877929688,909.72998046875,,70
2020-03-13,2020-02-07,2409.389892578125,3373.93994140625,,70
2022-09-23,2021-12-24,3640.469970703125,4778.72998046875,,525
