Trough Date,Peak Date,Trough Price,Peak Price,Percent Gain,Number Of Days
1927-12-30,1929-09-13,17.549999237060547,31.729999542236328,80.79772604907983,623
1929-11-08,1930-04-11,19.239999771118164,25.75,33.83576042788849,154
1932-06-24,1932-09-23,4.429999828338623,8.100000381469727,82.84425948854853,91
1933-02-24,1933-07-07,5.650000095367432,12.0,112.3893769460125,133
1933-10-13,1934-02-16,8.609999656677246,11.430000305175781,32.75262207834773,126
1935-03-08,1937-03-05,8.0600004196167,18.3799991607666,128.03967994880924,728
1938-03-25,1939-10-27,8.5,12.84000015258789,51.058825324563415,581
1940-05-17,1940-11-01,9.199999809265137,11.390000343322754,23.804354124574125,168
1942-04-17,1946-05-31,7.590000152587891,18.809999465942383,147.82607493794205,1505
1948-02-06,1956-08-03,13.880000114440918,49.31999969482422,255.33140697535802,3101
1957-11-08,1962-03-16,39.439998626708984,70.4000015258789,78.49899588536911,1589
1962-06-15,1966-02-11,53.59000015258789,92.66000366210938,72.90539913841513,1337
1966-09-30,1968-11-29,74.05000305175781,107.66999816894531,45.401747105518076,791
1970-05-15,1973-01-05,72.16000366210938,120.23999786376953,66.62970033482213,966
1974-09-27,1980-11-14,62.279998779296875,140.39999389648438,125.43352062999102,2240
1982-08-06,1987-08-14,102.41999816894531,334.8399963378906,226.92833657891748,1834
1987-11-27,2000-09-01,225.2100067138672,1502.510009765625,567.1595244320504,4662
2002-10-04,2007-10-12,803.9199829101562,1540.0799560546875,91.5712992329987,1834
2008-11-14,2009-01-02,752.4400024414062,909.72998046875,20.903989356891238,49
2009-02-27,2020-02-07,682.5499877929688,3373.93994140625,394.31396992854894,3997
2020-03-13,2021-12-24,2409.389892578125,4778.72998046875,98.33776157147213,651
2022-09-23,2023-12-01,3640.469970703125,4567.18017578125,25.455784899638633,434
